time_ist,user,src_ip,share,path,access,bytes
2026-09-05 10:08:33 IST,VISTARA\sneha.patil,10.10.10.54,R:\,R:\HR\onboarding\offer_template_2026.docx,READ,102400
2026-09-05 10:20:14 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\FMCG-07\label_artwork_v9.ai,READ,5242880
2026-09-05 10:21:08 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\FMCG-07\design_rev3.dwg,READ,18432000
2026-09-05 10:21:44 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\FMCG-07\design_rev2.dwg,READ,17219620
2026-09-05 10:22:31 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\FMCG-07\packaging_bom.xlsx,READ,244184
2026-09-05 10:23:25 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\FMCG-07\moq_terms_2026.pdf,READ,188416
2026-09-05 10:24:05 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\PHARMA-12\blister_pack_v4.dwg,READ,21049344
2026-09-05 10:24:35 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\FMCG-07\print_proof_2026-08.pdf,READ,3670016
2026-09-05 10:24:55 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\FMCG-07\die_line_master.dwg,READ,14581760
2026-09-05 10:25:20 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\PHARMA-12\stability_protocol.pdf,READ,720896
2026-09-05 10:25:49 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\PHARMA-12\alu_foil_spec.pdf,READ,540672
2026-09-05 10:25:52 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\PHARMA-12\coa_template.pdf,READ,311296
2026-09-05 10:26:18 IST,VISTARA\ananya.iyer,10.10.10.51,R:\,R:\Finance\tds_challan_aug2026.pdf,READ,214016
2026-09-05 10:26:20 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\DAIRY-03\gusset_profile.dwg,READ,13303808
2026-09-05 10:26:47 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\DAIRY-03\milk_pouch_artwork.ai,READ,6094848
2026-09-05 10:26:55 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\PHARMA-12\batch_label_rev7.pdf,READ,253952
2026-09-05 10:27:09 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\DAIRY-03\pouch_film_rev6.dwg,READ,16875520
2026-09-05 10:28:37 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\DAIRY-03\seal_test_report.pdf,READ,402688
2026-09-05 10:28:46 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\DAIRY-03\fat_barrier_spec.pdf,READ,462976
2026-09-05 10:31:22 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\AUTO-21\dash_film_rev1.dwg,READ,19300352
2026-09-05 10:31:32 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\AUTO-21\protective_film_spec.pdf,READ,588800
2026-09-05 10:32:25 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\AUTO-21\anti_scratch_layer.dwg,READ,16646144
2026-09-05 10:33:48 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\AUTO-21\tooling_cost.xlsx,READ,278528
2026-09-05 10:33:59 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\AGRO-09\uv_coating_spec.pdf,READ,512000
2026-09-05 10:35:02 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\AGRO-09\valve_bag_dieline.dwg,READ,15204352
2026-09-05 10:35:14 IST,VISTARA\vikram.rao,10.10.10.55,S:\,S:\Specs\line2_changeover_checklist.pdf,READ,156672
2026-09-05 10:36:41 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\AGRO-09\fertilizer_bag_v2.dwg,READ,17825792
2026-09-05 10:39:27 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\FMCG-07\shelf_life_study.pdf,READ,1241088
2026-09-05 10:41:11 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\AGRO-09\moisture_test.pdf,READ,344064
2026-09-05 10:43:06 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Specs\metallized_film_spec.pdf,READ,802816
2026-09-05 10:44:13 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\PHARMA-12\child_resistant_cap.dwg,READ,15990784
2026-09-05 10:45:16 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Specs\peel_seal_spec.pdf,READ,659456
2026-09-05 10:46:05 IST,VISTARA\vikram.rao,10.10.10.55,S:\,S:\Specs\extruder_pm_schedule_2026.xlsx,READ,187392
2026-09-05 10:46:41 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Specs\antifog_spec_v3.pdf,READ,577536
2026-09-05 10:47:45 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Specs\solvent_retention_spec.pdf,READ,690176
2026-09-05 10:47:52 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Specs\foodgrade_film_spec.pdf,READ,1249280
