time_ist,action,proto,src_ip,src_port,dst_ip,dst_port,bytes,duration_ms
2026-09-04 11:32:00 IST,ALLOW,TCP,10.10.20.21,51000,185.220.101.47,8443,3733,100
2026-09-04 12:01:37 IST,ALLOW,TCP,10.10.20.21,51001,185.220.101.47,8443,3786,129
2026-09-04 12:32:14 IST,ALLOW,TCP,10.10.20.21,51002,185.220.101.47,8443,3839,158
2026-09-04 13:02:51 IST,ALLOW,TCP,10.10.20.21,51003,185.220.101.47,8443,3892,187
2026-09-04 13:31:27 IST,ALLOW,TCP,10.10.20.21,51004,185.220.101.47,8443,3945,126
2026-09-04 14:02:04 IST,ALLOW,TCP,10.10.20.21,51005,185.220.101.47,8443,3998,155
2026-09-04 14:32:41 IST,ALLOW,TCP,10.10.20.21,51006,185.220.101.47,8443,4051,184
2026-09-04 15:01:17 IST,ALLOW,TCP,10.10.20.21,51007,185.220.101.47,8443,4104,123
2026-09-04 15:31:54 IST,ALLOW,TCP,10.10.20.21,51008,185.220.101.47,8443,4157,152
2026-09-04 16:02:31 IST,ALLOW,TCP,10.10.20.21,51009,185.220.101.47,8443,4210,181
2026-09-04 16:31:07 IST,ALLOW,TCP,10.10.20.21,51010,185.220.101.47,8443,4263,120
2026-09-04 17:01:44 IST,ALLOW,TCP,10.10.20.21,51011,185.220.101.47,8443,4316,149
2026-09-04 17:32:21 IST,ALLOW,TCP,10.10.20.21,51012,185.220.101.47,8443,4369,178
2026-09-04 18:02:58 IST,ALLOW,TCP,10.10.20.21,51013,185.220.101.47,8443,4422,117
2026-09-04 18:31:34 IST,ALLOW,TCP,10.10.20.21,51014,185.220.101.47,8443,3748,146
2026-09-04 19:02:11 IST,ALLOW,TCP,10.10.20.21,51015,185.220.101.47,8443,3801,175
2026-09-04 19:32:48 IST,ALLOW,TCP,10.10.20.21,51016,185.220.101.47,8443,3854,114
2026-09-04 20:01:24 IST,ALLOW,TCP,10.10.20.21,51017,185.220.101.47,8443,3907,143
2026-09-04 20:32:01 IST,ALLOW,TCP,10.10.20.21,51018,185.220.101.47,8443,3960,172
2026-09-04 21:02:38 IST,ALLOW,TCP,10.10.20.21,51019,185.220.101.47,8443,4013,111
2026-09-04 21:31:14 IST,ALLOW,TCP,10.10.20.21,51020,185.220.101.47,8443,4066,140
2026-09-04 22:01:51 IST,ALLOW,TCP,10.10.20.21,51021,185.220.101.47,8443,4119,169
2026-09-04 22:32:28 IST,ALLOW,TCP,10.10.20.21,51022,185.220.101.47,8443,4172,108
2026-09-04 23:01:04 IST,ALLOW,TCP,10.10.20.21,51023,185.220.101.47,8443,4225,137
2026-09-04 23:31:41 IST,ALLOW,TCP,10.10.20.21,51024,185.220.101.47,8443,4278,166
2026-09-05 00:02:18 IST,ALLOW,TCP,10.10.20.21,51025,185.220.101.47,8443,4331,105
2026-09-05 00:32:55 IST,ALLOW,TCP,10.10.20.21,51026,185.220.101.47,8443,4384,134
2026-09-05 01:01:31 IST,ALLOW,TCP,10.10.20.21,51027,185.220.101.47,8443,4437,163
2026-09-05 01:32:08 IST,ALLOW,TCP,10.10.20.21,51028,185.220.101.47,8443,3763,102
2026-09-05 02:02:45 IST,ALLOW,TCP,10.10.20.21,51029,185.220.101.47,8443,3816,131
2026-09-05 02:31:21 IST,ALLOW,TCP,10.10.20.21,51030,185.220.101.47,8443,3869,160
2026-09-05 03:01:58 IST,ALLOW,TCP,10.10.20.21,51031,185.220.101.47,8443,3922,189
2026-09-05 03:32:35 IST,ALLOW,TCP,10.10.20.21,51032,185.220.101.47,8443,3975,128
2026-09-05 04:01:11 IST,ALLOW,TCP,10.10.20.21,51033,185.220.101.47,8443,4028,157
2026-09-05 04:31:48 IST,ALLOW,TCP,10.10.20.21,51034,185.220.101.47,8443,4081,186
2026-09-05 05:02:25 IST,ALLOW,TCP,10.10.20.21,51035,185.220.101.47,8443,4134,125
2026-09-05 05:31:01 IST,ALLOW,TCP,10.10.20.21,51036,185.220.101.47,8443,4187,154
2026-09-05 06:01:38 IST,ALLOW,TCP,10.10.20.21,51037,185.220.101.47,8443,4240,183
2026-09-05 06:32:15 IST,ALLOW,TCP,10.10.20.21,51038,185.220.101.47,8443,4293,122
2026-09-05 07:02:52 IST,ALLOW,TCP,10.10.20.21,51039,185.220.101.47,8443,4346,151
2026-09-05 07:31:28 IST,ALLOW,TCP,10.10.20.21,51040,185.220.101.47,8443,4399,180
2026-09-05 08:02:05 IST,ALLOW,TCP,10.10.20.21,51041,185.220.101.47,8443,4452,119
2026-09-05 08:32:42 IST,ALLOW,TCP,10.10.20.21,51042,185.220.101.47,8443,3778,148
2026-09-05 09:01:18 IST,ALLOW,TCP,10.10.20.21,51043,185.220.101.47,8443,3831,177
2026-09-05 09:31:55 IST,ALLOW,TCP,10.10.20.21,51044,185.220.101.47,8443,3884,116
2026-09-05 10:02:32 IST,ALLOW,TCP,10.10.20.21,51045,185.220.101.47,8443,3937,145
2026-09-05 10:31:08 IST,ALLOW,TCP,10.10.20.21,51046,185.220.101.47,8443,3990,174
2026-09-05 11:01:45 IST,ALLOW,TCP,10.10.20.21,51047,185.220.101.47,8443,4043,113
2026-09-05 11:32:22 IST,ALLOW,TCP,10.10.20.21,51048,185.220.101.47,8443,4096,142
2026-09-05 12:02:59 IST,ALLOW,TCP,10.10.20.21,51049,185.220.101.47,8443,4149,171
2026-09-05 12:31:35 IST,ALLOW,TCP,10.10.20.21,51050,185.220.101.47,8443,4202,110
2026-09-05 13:02:12 IST,ALLOW,TCP,10.10.20.21,51051,185.220.101.47,8443,4255,139
2026-09-05 13:32:49 IST,ALLOW,TCP,10.10.20.21,51052,185.220.101.47,8443,4308,168
